Index,p_inf,p_hcw,c_hcw,d,q,p_s,rrd,intro,T_lat,juvp_s,T_inf,T_rec,T_sym,T_hos,K,inf_asym
0,0.153532,0.60916,37.9059,0.525139,0.313957,0.787278,0.516736,8.50135E-07,4,0.1,1.5,11,7,5,2000,1
1,0.12602,0.429026,43.9404,0.277644,0.722916,0.470001,3.41006,6.27917E-07,4,0.1,1.5,11,7,5,2000,1
2,0.133571,0.581229,36.9656,0.150568,0.844921,0.449271,3.65667,3.41873E-07,4,0.1,1.5,11,7,5,2000,1
3,0.143701,0.759681,51.5907,0.524911,0.344917,0.716789,2.29141,7.29239E-07,4,0.1,1.5,11,7,5,2000,1
4,0.122796,0.442852,40.8748,0.142544,0.231988,0.611841,1.99699,5.03536E-07,4,0.1,1.5,11,7,5,2000,1
5,0.158849,0.533349,37.194,0.278803,0.820739,0.79722,1.30675,5.91761E-07,4,0.1,1.5,11,7,5,2000,1
6,0.149491,0.787899,43.4072,0.524841,0.819847,0.752574,0.391715,8.70935E-07,4,0.1,1.5,11,7,5,2000,1
7,0.156793,0.680304,29.2503,0.657286,0.374958,0.610836,0.819619,6.24708E-07,4,0.1,1.5,11,7,5,2000,1
8,0.174371,0.482221,42.3917,0.646519,0.215127,0.862822,1.65215,4.99329E-07,4,0.1,1.5,11,7,5,2000,1
9,0.113021,0.434088,35.5305,0.420806,0.486234,0.507927,0.00241627,8.72607E-07,4,0.1,1.5,11,7,5,2000,1
10,0.136726,0.169554,48.1521,0.141095,0.686146,0.689953,0.31971,8.4595E-07,4,0.1,1.5,11,7,5,2000,1
11,0.165885,0.323002,43.7739,0.583777,0.400092,0.90224,0.026679,5.03803E-07,4,0.1,1.5,11,7,5,2000,1
12,0.171982,0.360028,38.1863,0.538308,0.190238,0.869514,2.22113,4.46005E-07,4,0.1,1.5,11,7,5,2000,1
13,0.168885,0.793267,41.6929,0.478403,0.48312,0.798236,0.486824,6.38158E-07,4,0.1,1.5,11,7,5,2000,1
14,0.172413,0.78318,37.3415,0.323049,0.525201,0.845853,1.42791,6.09131E-07,4,0.1,1.5,11,7,5,2000,1
15,0.148479,0.78211,39.2822,0.466347,0.567213,0.829191,0.640718,9.73564E-07,4,0.1,1.5,11,7,5,2000,1
16,0.156409,0.788482,54.5743,0.523302,0.299141,0.863158,1.86637,6.71349E-07,4,0.1,1.5,11,7,5,2000,1
17,0.125624,0.106831,45.5386,0.183136,0.536528,0.686163,0.813918,8.14404E-07,4,0.1,1.5,11,7,5,2000,1
18,0.154039,0.789015,39.759,0.425006,0.835303,0.768237,0.0544021,8.17742E-07,4,0.1,1.5,11,7,5,2000,1
19,0.155724,0.742583,41.5725,0.536045,0.847816,0.784645,0.393761,8.85117E-07,4,0.1,1.5,11,7,5,2000,1
20,0.174848,0.4792,37.7584,0.573938,0.307466,0.908113,1.65357,4.36918E-07,4,0.1,1.5,11,7,5,2000,1
21,0.148657,0.790818,52.913,0.369261,0.129005,0.799494,2.06703,8.08721E-07,4,0.1,1.5,11,7,5,2000,1
22,0.169181,0.874047,41.5361,0.441773,0.557363,0.774909,0.00613229,4.80902E-07,4,0.1,1.5,11,7,5,2000,1
23,0.188667,0.583844,46.4934,0.558911,0.577772,0.764029,0.366862,2.28164E-07,4,0.1,1.5,11,7,5,2000,1
24,0.164967,0.691306,38.5831,0.29432,0.450413,0.931169,0.876972,7.87446E-07,4,0.1,1.5,11,7,5,2000,1
25,0.178003,0.589823,39.9983,0.407008,0.816877,0.791379,1.43325,5.30653E-07,4,0.1,1.5,11,7,5,2000,1
26,0.11587,0.41101,39.4607,0.194877,0.195675,0.59685,1.86678,4.11392E-07,4,0.1,1.5,11,7,5,2000,1
27,0.145503,0.466577,44.7893,0.652565,0.338484,0.677229,0.475057,8.78587E-07,4,0.1,1.5,11,7,5,2000,1
28,0.160536,0.322174,48.2108,0.547281,0.505764,0.854032,0.343901,6.42736E-07,4,0.1,1.5,11,7,5,2000,1
29,0.17581,0.799585,39.6487,0.301282,0.671676,0.86932,1.91399,6.85022E-07,4,0.1,1.5,11,7,5,2000,1
30,0.146318,0.68374,37.9087,0.532978,0.424451,0.776143,0.32367,8.38133E-07,4,0.1,1.5,11,7,5,2000,1
31,0.138754,0.649008,42.4942,0.567556,0.504048,0.511372,0.385416,4.25415E-07,4,0.1,1.5,11,7,5,2000,1
32,0.155614,0.638466,40.1365,0.490831,0.313116,0.836183,0.14078,8.78606E-07,4,0.1,1.5,11,7,5,2000,1
33,0.169659,0.449443,31.7089,0.692805,0.265236,0.88164,2.35423,9.3805E-07,4,0.1,1.5,11,7,5,2000,1
34,0.153514,0.799643,51.3401,0.532149,0.228839,0.859857,2.08132,5.89187E-07,4,0.1,1.5,11,7,5,2000,1
35,0.129637,0.261155,48.4925,0.138974,0.652218,0.624899,0.459767,8.38262E-07,4,0.1,1.5,11,7,5,2000,1
36,0.133195,0.40554,40.036,0.615122,0.359603,0.660743,0.805969,9.42986E-07,4,0.1,1.5,11,7,5,2000,1
37,0.171524,0.338739,46.2696,0.582707,0.423835,0.861742,0.033441,6.03193E-07,4,0.1,1.5,11,7,5,2000,1
38,0.149114,0.785954,47.9765,0.424583,0.857647,0.729413,0.250205,9.74899E-07,4,0.1,1.5,11,7,5,2000,1
39,0.170237,0.59405,43.4831,0.578797,0.162926,0.82945,2.04984,3.76389E-07,4,0.1,1.5,11,7,5,2000,1
40,0.120883,0.23709,40.7176,0.201052,0.143773,0.565624,2.69268,3.78472E-07,4,0.1,1.5,11,7,5,2000,1
41,0.151645,0.441346,40.4854,0.597546,0.614107,0.712472,3.3864,9.65136E-07,4,0.1,1.5,11,7,5,2000,1
42,0.16612,0.529107,52.6547,0.516767,0.836726,0.802303,0.975982,7.34973E-07,4,0.1,1.5,11,7,5,2000,1
43,0.183946,0.558086,53.8672,0.446918,0.862554,0.860272,1.09095,7.95578E-07,4,0.1,1.5,11,7,5,2000,1
44,0.16849,0.356239,44.6851,0.594696,0.323791,0.780111,0.452529,2.5078E-07,4,0.1,1.5,11,7,5,2000,1
45,0.163911,0.790954,45.854,0.54048,0.552095,0.750962,0.960659,5.65548E-07,4,0.1,1.5,11,7,5,2000,1
46,0.171249,0.366474,43.8872,0.584594,0.461016,0.787072,0.0996662,3.44423E-07,4,0.1,1.5,11,7,5,2000,1
47,0.11334,0.460702,40.2051,0.232187,0.116134,0.576571,2.07577,5.44762E-07,4,0.1,1.5,11,7,5,2000,1
48,0.137978,0.119387,46.5327,0.238164,0.51916,0.69334,0.875605,8.67373E-07,4,0.1,1.5,11,7,5,2000,1
49,0.182117,0.646987,29.7143,0.614992,0.787,0.681082,2.01263,3.84829E-07,4,0.1,1.5,11,7,5,2000,1
50,0.123225,0.606107,38.8405,0.139231,0.851582,0.461351,3.80934,4.80441E-07,4,0.1,1.5,11,7,5,2000,1
51,0.127131,0.369249,42.764,0.183944,0.20714,0.593564,2.26702,4.90734E-07,4,0.1,1.5,11,7,5,2000,1
52,0.13833,0.827449,51.9205,0.727537,0.280691,0.58197,0.341101,3.24686E-07,4,0.1,1.5,11,7,5,2000,1
53,0.16696,0.204715,48.1633,0.443136,0.494519,0.819898,0.133828,6.18592E-07,4,0.1,1.5,11,7,5,2000,1
54,0.111791,0.434666,43.6087,0.221546,0.118354,0.587233,2.36612,5.14046E-07,4,0.1,1.5,11,7,5,2000,1
55,0.159953,0.300808,29.4979,0.379785,0.49506,0.773785,0.448567,9.03743E-07,4,0.1,1.5,11,7,5,2000,1
56,0.164223,0.294495,39.1053,0.623633,0.262852,0.786118,1.36026,3.07126E-07,4,0.1,1.5,11,7,5,2000,1
57,0.148431,0.757907,48.9587,0.576655,0.342438,0.789128,2.41666,7.07463E-07,4,0.1,1.5,11,7,5,2000,1
58,0.153855,0.411924,35.4974,0.780479,0.345608,0.71678,0.583343,8.5789E-07,4,0.1,1.5,11,7,5,2000,1
59,0.145142,0.421058,38.3069,0.642509,0.4876,0.713587,3.7545,9.28633E-07,4,0.1,1.5,11,7,5,2000,1
60,0.182584,0.618932,55.3276,0.55714,0.771398,0.829648,1.10222,6.0141E-07,4,0.1,1.5,11,7,5,2000,1
61,0.154641,0.851518,51.4477,0.469553,0.223654,0.793478,1.79558,6.33121E-07,4,0.1,1.5,11,7,5,2000,1
62,0.168044,0.819053,37.6819,0.329076,0.61996,0.875113,1.49306,6.98376E-07,4,0.1,1.5,11,7,5,2000,1
63,0.168931,0.620386,38.9799,0.509473,0.16528,0.873861,1.96357,3.62265E-07,4,0.1,1.5,11,7,5,2000,1
64,0.11451,0.447629,40.7223,0.343209,0.777323,0.484534,3.56204,5.69539E-07,4,0.1,1.5,11,7,5,2000,1
65,0.169736,0.372498,38.8707,0.630275,0.223432,0.907294,1.98791,5.10076E-07,4,0.1,1.5,11,7,5,2000,1
66,0.155857,0.714235,48.1986,0.538992,0.726783,0.752819,0.310924,8.84818E-07,4,0.1,1.5,11,7,5,2000,1
67,0.168228,0.36642,43.1739,0.654975,0.322172,0.818031,0.370129,2.82189E-07,4,0.1,1.5,11,7,5,2000,1
68,0.170391,0.867586,37.1097,0.383622,0.658864,0.882964,0.536966,8.96591E-07,4,0.1,1.5,11,7,5,2000,1
69,0.112689,0.433415,35.9405,0.328905,0.566055,0.523853,0.218863,9.22682E-07,4,0.1,1.5,11,7,5,2000,1
70,0.166884,0.46894,44.112,0.605154,0.364978,0.801313,0.329927,3.78965E-07,4,0.1,1.5,11,7,5,2000,1
71,0.161535,0.255714,34.2913,0.692276,0.336844,0.696303,1.62958,3.03702E-07,4,0.1,1.5,11,7,5,2000,1
72,0.175171,0.700616,39.8045,0.398601,0.547831,0.876986,0.881911,7.93369E-07,4,0.1,1.5,11,7,5,2000,1
73,0.154674,0.369681,39.5916,0.7185,0.369726,0.720191,0.353843,8.83177E-07,4,0.1,1.5,11,7,5,2000,1
74,0.1659,0.756958,40.9851,0.413124,0.56179,0.864409,0.866841,7.46466E-07,4,0.1,1.5,11,7,5,2000,1
75,0.141283,0.822505,44.8033,0.408049,0.851495,0.714301,0.375119,9.6037E-07,4,0.1,1.5,11,7,5,2000,1
76,0.174053,0.867041,41.7697,0.260311,0.662558,0.904689,1.16011,6.136E-07,4,0.1,1.5,11,7,5,2000,1
77,0.189073,0.386869,35.3017,0.399983,0.568493,0.704339,0.0471941,9.05089E-08,4,0.1,1.5,11,7,5,2000,1
78,0.132108,0.584544,38.5834,0.569845,0.71615,0.504588,0.119222,4.57196E-07,4,0.1,1.5,11,7,5,2000,1
79,0.159067,0.487398,54.4472,0.380881,0.792973,0.783632,1.42321,6.46874E-07,4,0.1,1.5,11,7,5,2000,1
80,0.177257,0.234211,36.1266,0.610054,0.375443,0.844387,1.91469,3.21231E-07,4,0.1,1.5,11,7,5,2000,1
81,0.192763,0.607564,41.0201,0.338046,0.291692,0.926156,2.48554,1.18536E-07,4,0.1,1.5,11,7,5,2000,1
82,0.123489,0.716238,49.9348,0.367489,0.143944,0.679992,1.00551,8.41697E-07,4,0.1,1.5,11,7,5,2000,1
83,0.126872,0.181873,48.9737,0.165662,0.615628,0.660202,0.0820909,9.00322E-07,4,0.1,1.5,11,7,5,2000,1
84,0.178249,0.337715,31.6078,0.666179,0.334768,0.758922,1.79822,2.83999E-07,4,0.1,1.5,11,7,5,2000,1
85,0.171557,0.475227,42.5516,0.611157,0.37143,0.876603,0.494247,3.53673E-07,4,0.1,1.5,11,7,5,2000,1
86,0.126507,0.32322,40.2577,0.200206,0.169723,0.603789,2.17325,2.56316E-07,4,0.1,1.5,11,7,5,2000,1
87,0.149928,0.828582,50.0835,0.703138,0.135193,0.607505,0.252028,4.79959E-07,4,0.1,1.5,11,7,5,2000,1
88,0.169609,0.592888,38.9493,0.42724,0.800841,0.811158,1.53904,6.47011E-07,4,0.1,1.5,11,7,5,2000,1
89,0.154288,0.457174,38.7703,0.566326,0.299649,0.719958,0.114256,8.32872E-07,4,0.1,1.5,11,7,5,2000,1
90,0.145481,0.7244,46.0394,0.497973,0.848645,0.763944,0.274203,9.52045E-07,4,0.1,1.5,11,7,5,2000,1
91,0.179397,0.80782,39.5362,0.378016,0.558294,0.917125,1.04844,5.71452E-07,4,0.1,1.5,11,7,5,2000,1
92,0.130878,0.250519,41.5089,0.205408,0.221522,0.627756,2.79282,4.18303E-07,4,0.1,1.5,11,7,5,2000,1
93,0.146991,0.605707,32.0269,0.71444,0.306362,0.54812,1.26146,7.50693E-07,4,0.1,1.5,11,7,5,2000,1
94,0.157176,0.779906,37.7273,0.512559,0.575948,0.87162,0.660568,9.19254E-07,4,0.1,1.5,11,7,5,2000,1
95,0.150647,0.738478,36.0266,0.667599,0.466569,0.656263,1.18713,4.18193E-07,4,0.1,1.5,11,7,5,2000,1
96,0.174375,0.352633,38.1646,0.637648,0.263404,0.804947,1.09077,2.91475E-07,4,0.1,1.5,11,7,5,2000,1
97,0.165479,0.683173,45.3686,0.596151,0.285959,0.761419,0.666566,7.14149E-07,4,0.1,1.5,11,7,5,2000,1
98,0.152403,0.604113,42.1656,0.613937,0.263005,0.742016,0.0974205,7.00106E-07,4,0.1,1.5,11,7,5,2000,1
99,0.162477,0.528589,36.672,0.296651,0.772847,0.859408,1.32546,6.58206E-07,4,0.1,1.5,11,7,5,2000,1
