Scotland's Census 2011 - National Records of Scotland,,,,
Lanarkshire,17,"7,386","3,808","3,578"
Lanarkshire,18,"7,120","3,665","3,455"
Lanarkshire,19,"7,407","3,751","3,656"
Lanarkshire,20,"7,045","3,649","3,396"
Lanarkshire,21,"6,763","3,469","3,294"
Lanarkshire,22,"6,793","3,370","3,423"
Lanarkshire,23,"7,029","3,548","3,481"
Lanarkshire,24,"6,824","3,315","3,509"
Lanarkshire,25,"6,957","3,398","3,559"
Lanarkshire,26,"6,879","3,297","3,582"
Lanarkshire,27,"7,023","3,400","3,623"
Lanarkshire,28,"7,008","3,422","3,586"
Lanarkshire,29,"7,419","3,591","3,828"
Lanarkshire,30,"7,426","3,641","3,785"
Lanarkshire,31,"7,299","3,594","3,705"
Lanarkshire,32,"6,880","3,350","3,530"
Lanarkshire,33,"6,437","3,123","3,314"
Lanarkshire,34,"6,571","3,227","3,344"
Lanarkshire,35,"7,115","3,521","3,594"
Lanarkshire,36,"7,187","3,517","3,670"
Lanarkshire,37,"7,475","3,666","3,809"
Lanarkshire,38,"7,951","3,905","4,046"
Lanarkshire,39,"8,546","4,082","4,464"
Lanarkshire,40,"8,643","4,184","4,459"
Lanarkshire,41,"8,909","4,336","4,573"
Lanarkshire,42,"9,202","4,452","4,750"
Lanarkshire,43,"9,351","4,486","4,865"
Lanarkshire,44,"9,232","4,535","4,697"
Lanarkshire,45,"9,149","4,433","4,716"
Lanarkshire,46,"9,582","4,657","4,925"
Lanarkshire,47,"9,285","4,517","4,768"
Lanarkshire,48,"9,287","4,516","4,771"
Lanarkshire,49,"9,070","4,453","4,617"
Lanarkshire,50,"8,730","4,265","4,465"
Lanarkshire,51,"8,526","4,140","4,386"
Lanarkshire,52,"8,389","4,047","4,342"
Lanarkshire,53,"8,230","3,968","4,262"
Lanarkshire,54,"7,977","3,884","4,093"
Lanarkshire,55,"7,679","3,715","3,964"
Lanarkshire,56,"7,436","3,467","3,969"
Lanarkshire,57,"7,388","3,677","3,711"
Lanarkshire,58,"7,128","3,431","3,697"
Lanarkshire,59,"6,819","3,321","3,498"
Lanarkshire,60,"6,777","3,308","3,469"
Lanarkshire,61,"6,878","3,366","3,512"
Lanarkshire,62,"6,924","3,318","3,606"
Lanarkshire,63,"7,420","3,585","3,835"
Lanarkshire,64,"7,247","3,504","3,743"
Lanarkshire,65,"5,641","2,706","2,935"
Lanarkshire,66,"5,919","2,813","3,106"
Lanarkshire,67,"5,804","2,733","3,071"
Lanarkshire,68,"5,579","2,501","3,078"
Lanarkshire,69,"5,099","2,398","2,701"
Lanarkshire,70,"4,888","2,220","2,668"
Lanarkshire,71,"4,941","2,224","2,717"
Lanarkshire,72,"4,755","2,175","2,580"
Lanarkshire,73,"4,678","2,060","2,618"
Lanarkshire,74,"4,352","1,857","2,495"
Lanarkshire,75,"4,175","1,718","2,457"
Lanarkshire,76,"3,863","1,651","2,212"
Lanarkshire,77,"3,662","1,557","2,105"
Lanarkshire,78,"3,489","1,517","1,972"
Lanarkshire,79,"3,165","1,275","1,890"
Lanarkshire,80,"3,044","1,211","1,833"
Lanarkshire,81,"2,743","1,031","1,712"
Lanarkshire,82,"2,430",928,"1,502"
Lanarkshire,83,"2,079",762,"1,317"
Lanarkshire,84,"1,978",718,"1,260"
Lanarkshire,85 to 89,"6,358","2,093","4,265"
Lanarkshire,90 to 94,"2,246",595,"1,651"
Lanarkshire,95 and over,630,128,502
Lothian,All people,"834,350","405,702","428,648"
Lothian,Under 1,"10,104","5,077","5,027"
Lothian,1,"9,852","5,020","4,832"
Lothian,2,"9,839","4,958","4,881"
Lothian,3,"9,679","4,945","4,734"
Lothian,4,"9,017","4,616","4,401"
Lothian,5,"8,755","4,519","4,236"
Lothian,6,"8,391","4,390","4,001"
Lothian,7,"8,253","4,239","4,014"
Lothian,8,"7,885","4,063","3,822"
Lothian,9,"8,137","4,158","3,979"
Lothian,10,"8,232","4,142","4,090"
Lothian,11,"8,352","4,181","4,171"
Lothian,12,"8,662","4,435","4,227"
Lothian,13,"8,686","4,408","4,278"
Lothian,14,"8,907","4,625","4,282"
Lothian,15,"9,057","4,750","4,307"
Lothian,16,"9,046","4,754","4,292"
Lothian,17,"9,411","4,778","4,633"
Lothian,18,"10,848","5,479","5,369"
Lothian,19,"12,847","6,163","6,684"
Lothian,20,"14,081","6,961","7,120"
Lothian,21,"13,495","6,435","7,060"
Lothian,22,"13,892","6,771","7,121"
Lothian,23,"13,769","6,706","7,063"
Lothian,24,"13,012","6,230","6,782"
Lothian,25,"13,069","6,429","6,640"
Lothian,26,"13,237","6,424","6,813"
Lothian,27,"12,812","6,329","6,483"
Lothian,28,"13,080","6,339","6,741"
Lothian,29,"13,149","6,269","6,880"
Lothian,30,"12,536","6,144","6,392"
Lothian,31,"12,590","6,226","6,364"
Lothian,32,"11,830","5,994","5,836"
Lothian,33,"11,032","5,456","5,576"
Lothian,34,"11,105","5,590","5,515"
Lothian,35,"11,284","5,694","5,590"
Lothian,36,"11,394","5,663","5,731"
Lothian,37,"11,576","5,835","5,741"
Lothian,38,"11,843","5,956","5,887"
Lothian,39,"12,628","6,244","6,384"
Lothian,40,"12,240","6,030","6,210"
Lothian,41,"12,058","5,983","6,075"
Lothian,42,"12,390","6,050","6,340"
Lothian,43,"12,667","6,243","6,424"
Lothian,44,"12,557","6,217","6,340"
Lothian,45,"12,283","6,054","6,229"
Lothian,46,"12,882","6,476","6,406"
Lothian,47,"12,372","6,104","6,268"
Lothian,48,"12,694","6,340","6,354"
Lothian,49,"11,882","5,854","6,028"
Lothian,50,"11,872","5,833","6,039"
Lothian,51,"11,351","5,568","5,783"
Lothian,52,"11,138","5,460","5,678"
Lothian,53,"10,914","5,330","5,584"
Lothian,54,"10,556","5,260","5,296"
Lothian,55,"9,979","5,028","4,951"
Lothian,56,"9,594","4,754","4,840"
Lothian,57,"9,495","4,691","4,804"
Lothian,58,"9,196","4,447","4,749"
Lothian,59,"9,191","4,526","4,665"
Lothian,60,"9,122","4,415","4,707"
Lothian,61,"9,241","4,480","4,761"
Lothian,62,"9,327","4,517","4,810"
Lothian,63,"9,959","4,832","5,127"
Lothian,64,"9,984","4,847","5,137"
Lothian,65,"7,401","3,554","3,847"
Lothian,66,"7,585","3,670","3,915"
Lothian,67,"7,388","3,494","3,894"
Lothian,68,"6,876","3,172","3,704"
Lothian,69,"6,438","3,014","3,424"
Lothian,70,"6,210","2,864","3,346"
Lothian,71,"6,202","2,848","3,354"
Lothian,72,"6,131","2,754","3,377"
Lothian,73,"5,946","2,676","3,270"
Lothian,74,"5,593","2,483","3,110"
Lothian,75,"5,472","2,403","3,069"
Lothian,76,"5,143","2,262","2,881"
Lothian,77,"4,889","2,114","2,775"
Lothian,78,"4,485","1,906","2,579"
Lothian,79,"4,672","1,918","2,754"
Lothian,80,"4,267","1,713","2,554"
Lothian,81,"3,918","1,535","2,383"
Lothian,82,"3,530","1,374","2,156"
Lothian,83,"3,176","1,202","1,974"
Lothian,84,"3,018","1,076","1,942"
Lothian,85 to 89,"10,540","3,621","6,919"
Lothian,90 to 94,"3,989","1,070","2,919"
Lothian,95 and over,"1,163",245,918
Orkney,All people,"21,349","10,566","10,783"
Orkney,Under 1,209,100,109
Orkney,1,205,111,94
Orkney,2,231,130,101
Orkney,3,220,101,119
Orkney,4,242,122,120
Orkney,5,213,103,110
Orkney,6,199,97,102
Orkney,7,194,115,79
Orkney,8,202,93,109
Orkney,9,196,94,102
Orkney,10,218,103,115
Orkney,11,227,112,115
Orkney,12,246,137,109
Orkney,13,247,137,110
Orkney,14,267,156,111
Orkney,15,310,175,135
Orkney,16,271,120,151
Orkney,17,276,121,155
Orkney,18,244,117,127
Orkney,19,205,104,101
Orkney,20,218,132,86
Orkney,21,236,130,106
Orkney,22,207,114,93
Orkney,23,239,117,122
Orkney,24,233,121,112
Orkney,25,219,110,109
Orkney,26,212,109,103
Orkney,27,201,101,100
Orkney,28,222,97,125
Orkney,29,194,111,83
Orkney,30,230,107,123
Orkney,31,221,112,109
Orkney,32,230,96,134
Orkney,33,196,99,97
Orkney,34,188,91,97
Orkney,35,221,114,107
Orkney,36,223,106,117
Orkney,37,226,98,128
Orkney,38,267,125,142
Orkney,39,279,126,153
Orkney,40,287,135,152
Orkney,41,301,151,150
Orkney,42,289,142,147
Orkney,43,340,170,170
Orkney,44,372,186,186
Orkney,45,357,177,180
Orkney,46,360,173,187
Orkney,47,318,170,148
Orkney,48,360,183,177
Orkney,49,317,175,142
Orkney,50,331,166,165
Orkney,51,339,187,152
Orkney,52,306,139,167
Orkney,53,309,160,149
Orkney,54,326,158,168
Orkney,55,296,134,162
Orkney,56,327,170,157
Orkney,57,295,163,132
Orkney,58,316,162,154
Orkney,59,294,142,152
Orkney,60,299,148,151
Orkney,61,288,151,137
Orkney,62,341,177,164
Orkney,63,318,151,167
Orkney,64,360,197,163
Orkney,65,243,113,130
Orkney,66,292,139,153
Orkney,67,270,139,131
Orkney,68,282,135,147
Orkney,69,259,124,135
Orkney,70,216,97,119
Orkney,71,271,138,133
Orkney,72,227,120,107
Orkney,73,196,97,99
Orkney,74,182,83,99
Orkney,75,165,73,92
Orkney,76,166,87,79
Orkney,77,156,68,88
Orkney,78,120,52,68
Orkney,79,126,57,69
Orkney,80,128,46,82
Orkney,81,135,63,72
Orkney,82,112,48,64
Orkney,83,92,51,41
Orkney,84,102,36,66
Orkney,85 to 89,305,123,182
Orkney,90 to 94,128,35,93
Orkney,95 and over,46,11,35
Shetland,All people,"23,167","11,761","11,406"
Shetland,Under 1,257,141,116
Shetland,1,305,173,132
Shetland,2,279,145,134
Shetland,3,239,137,102
Shetland,4,309,145,164
Shetland,5,266,134,132
Shetland,6,267,157,110
Shetland,7,269,144,125
Shetland,8,262,137,125
Shetland,9,262,140,122
Shetland,10,270,126,144
Shetland,11,311,168,143
Shetland,12,286,134,152
Shetland,13,299,142,157
Shetland,14,284,141,143
Shetland,15,306,153,153
Shetland,16,315,175,140
Shetland,17,314,167,147
Shetland,18,275,152,123
Shetland,19,241,145,96
Shetland,20,246,111,135
Shetland,21,214,123,91
Shetland,22,274,149,125
Shetland,23,266,140,126
Shetland,24,295,148,147
Shetland,25,263,137,126
Shetland,26,245,130,115
Shetland,27,241,118,123
Shetland,28,230,130,100
Shetland,29,274,138,136
Shetland,30,305,153,152
Shetland,31,249,125,124
Shetland,32,277,149,128
Shetland,33,264,131,133
Shetland,34,308,149,159
Shetland,35,279,148,131
Shetland,36,286,141,145
Shetland,37,337,174,163
Shetland,38,314,171,143
Shetland,39,317,148,169
Shetland,40,346,168,178
Shetland,41,318,162,156
Shetland,42,334,158,176
Shetland,43,342,173,169
Shetland,44,330,175,155
Shetland,45,370,200,170
Shetland,46,369,195,174
Shetland,47,372,180,192
Shetland,48,391,203,188
Shetland,49,339,174,165
Shetland,50,367,193,174
Shetland,51,305,153,152
Shetland,52,327,174,153
Shetland,53,349,181,168
Shetland,54,281,132,149
Shetland,55,339,175,164
Shetland,56,342,175,167
Shetland,57,304,151,153
Shetland,58,292,153,139
Shetland,59,316,170,146
Shetland,60,308,158,150
Shetland,61,338,169,169
Shetland,62,284,156,128
Shetland,63,330,190,140
Shetland,64,297,169,128
Shetland,65,256,129,127
Shetland,66,247,113,134
Shetland,67,235,131,104
Shetland,68,274,128,146
Shetland,69,218,100,118
Shetland,70,191,94,97
Shetland,71,213,103,110
Shetland,72,181,94,87
Shetland,73,166,79,87
Shetland,74,162,80,82
Shetland,75,155,76,79
Shetland,76,151,64,87
Shetland,77,147,70,77
Shetland,78,115,44,71
Shetland,79,119,50,69
Shetland,80,108,60,48
Shetland,81,105,51,54
Shetland,82,101,37,64
Shetland,83,90,28,62
Shetland,84,87,28,59
Shetland,85 to 89,296,102,194
Shetland,90 to 94,124,37,87
Shetland,95 and over,36,7,29
Tayside,All people,"409,709","198,265","211,444"
Tayside,Under 1,"4,197","2,140","2,057"
Tayside,1,"4,257","2,159","2,098"
Tayside,2,"4,230","2,192","2,038"
Tayside,3,"4,349","2,160","2,189"
Tayside,4,"4,035","2,082","1,953"
Tayside,5,"4,065","2,036","2,029"
Tayside,6,"4,056","2,098","1,958"
Tayside,7,"4,092","2,088","2,004"
Tayside,8,"3,980","2,087","1,893"
Tayside,9,"4,058","2,056","2,002"
Tayside,10,"4,271","2,197","2,074"
Tayside,11,"4,440","2,261","2,179"
Tayside,12,"4,514","2,373","2,141"
Tayside,13,"4,711","2,363","2,348"
Tayside,14,"4,944","2,520","2,424"
Tayside,15,"4,905","2,482","2,423"
Tayside,16,"4,746","2,402","2,344"
Tayside,17,"4,855","2,530","2,325"
Tayside,18,"5,779","2,892","2,887"
Tayside,19,"6,074","3,014","3,060"
Tayside,20,"6,320","3,153","3,167"
Tayside,21,"5,688","2,841","2,847"
Tayside,22,"5,648","2,912","2,736"
Tayside,23,"5,740","2,841","2,899"
Tayside,24,"5,431","2,701","2,730"
Tayside,25,"5,372","2,706","2,666"
Tayside,26,"5,242","2,592","2,650"
Tayside,27,"5,161","2,587","2,574"
Tayside,28,"4,965","2,440","2,525"
Tayside,29,"5,091","2,549","2,542"
Tayside,30,"4,890","2,364","2,526"
Tayside,31,"4,655","2,290","2,365"
Tayside,32,"4,465","2,237","2,228"
Tayside,33,"4,282","2,096","2,186"
Tayside,34,"4,132","2,044","2,088"
Tayside,35,"4,280","2,102","2,178"
Tayside,36,"4,311","2,041","2,270"
Tayside,37,"4,498","2,118","2,380"
Tayside,38,"4,901","2,351","2,550"
Tayside,39,"5,337","2,571","2,766"
Tayside,40,"5,384","2,587","2,797"
Tayside,41,"5,504","2,730","2,774"
Tayside,42,"5,690","2,742","2,948"
Tayside,43,"5,859","2,800","3,059"
Tayside,44,"5,806","2,810","2,996"
Tayside,45,"6,155","3,064","3,091"
Tayside,46,"6,383","3,137","3,246"
Tayside,47,"6,116","3,034","3,082"
Tayside,48,"6,260","3,063","3,197"
Tayside,49,"6,044","2,934","3,110"
Tayside,50,"5,957","2,865","3,092"
Tayside,51,"5,756","2,808","2,948"
Tayside,52,"5,742","2,815","2,927"
Tayside,53,"5,702","2,789","2,913"
Tayside,54,"5,575","2,740","2,835"
Tayside,55,"5,194","2,521","2,673"
Tayside,56,"5,127","2,531","2,596"
Tayside,57,"5,188","2,583","2,605"
Tayside,58,"5,265","2,530","2,735"
Tayside,59,"5,001","2,473","2,528"
Tayside,60,"5,130","2,529","2,601"
Tayside,61,"5,298","2,585","2,713"
Tayside,62,"5,447","2,631","2,816"
Tayside,63,"5,933","2,923","3,010"
Tayside,64,"6,072","2,950","3,122"
Tayside,65,"4,405","2,142","2,263"
Tayside,66,"4,467","2,120","2,347"
Tayside,67,"4,371","2,091","2,280"
Tayside,68,"4,274","2,004","2,270"
Tayside,69,"3,982","1,838","2,144"
Tayside,70,"3,809","1,779","2,030"
Tayside,71,"3,855","1,845","2,010"
Tayside,72,"3,842","1,749","2,093"
Tayside,73,"3,698","1,693","2,005"
Tayside,74,"3,529","1,568","1,961"
Tayside,75,"3,419","1,554","1,865"
Tayside,76,"3,391","1,464","1,927"
Tayside,77,"3,026","1,369","1,657"
Tayside,78,"2,843","1,240","1,603"
Tayside,79,"2,920","1,253","1,667"
Tayside,80,"2,717","1,145","1,572"
Tayside,81,"2,468","1,010","1,458"
Tayside,82,"2,348",941,"1,407"
Tayside,83,"1,945",763,"1,182"
Tayside,84,"1,973",726,"1,247"
Tayside,85 to 89,"6,747","2,245","4,502"
Tayside,90 to 94,"2,404",728,"1,676"
Tayside,95 and over,721,156,565
Western Isles,All people,"27,684","13,668","14,016"
Western Isles,Under 1,235,127,108
Western Isles,1,243,133,110
Western Isles,2,277,145,132
Western Isles,3,287,157,130
Western Isles,4,312,156,156
Western Isles,5,277,146,131
Western Isles,6,268,131,137
Western Isles,7,302,151,151
Western Isles,8,301,139,162
Western Isles,9,265,129,136
Western Isles,10,304,148,156
Western Isles,11,279,152,127
Western Isles,12,325,157,168
Western Isles,13,283,144,139
Western Isles,14,338,176,162
Western Isles,15,382,199,183
Western Isles,16,326,148,178
Western Isles,17,343,169,174
Western Isles,18,263,125,138
Western Isles,19,272,165,107
Western Isles,20,201,120,81
Western Isles,21,246,138,108
Western Isles,22,258,152,106
Western Isles,23,264,138,126
Western Isles,24,259,138,121
Western Isles,25,257,132,125
Western Isles,26,241,141,100
Western Isles,27,217,104,113
Western Isles,28,268,128,140
Western Isles,29,275,137,138
Western Isles,30,236,119,117
Western Isles,31,277,139,138
Western Isles,32,311,146,165
Western Isles,33,251,127,124
Western Isles,34,302,143,159
Western Isles,35,316,148,168
Western Isles,36,298,149,149
Western Isles,37,314,156,158
Western Isles,38,328,170,158
Western Isles,39,380,191,189
Western Isles,40,365,200,165
Western Isles,41,423,212,211
Western Isles,42,422,215,207
Western Isles,43,427,214,213
Western Isles,44,418,213,205
Western Isles,45,403,186,217
Western Isles,46,399,197,202
Western Isles,47,446,235,211
Western Isles,48,422,213,209
Western Isles,49,428,223,205
Western Isles,50,421,210,211
Western Isles,51,411,227,184
Western Isles,52,409,208,201
Western Isles,53,398,190,208
Western Isles,54,396,209,187
Western Isles,55,388,194,194
Western Isles,56,388,182,206
Western Isles,57,378,210,168
Western Isles,58,385,193,192
Western Isles,59,433,211,222
Western Isles,60,402,198,204
Western Isles,61,436,221,215
Western Isles,62,450,244,206
Western Isles,63,426,236,190
Western Isles,64,460,225,235
Western Isles,65,355,193,162
Western Isles,66,345,172,173
Western Isles,67,359,171,188
Western Isles,68,338,163,175
Western Isles,69,303,153,150
Western Isles,70,312,139,173
Western Isles,71,323,148,175
Western Isles,72,303,161,142
Western Isles,73,299,137,162
Western Isles,74,260,120,140
Western Isles,75,238,108,130
Western Isles,76,245,108,137
Western Isles,77,241,104,137
Western Isles,78,233,87,146
Western Isles,79,190,77,113
Western Isles,80,171,69,102
Western Isles,81,172,75,97
Western Isles,82,200,84,116
Western Isles,83,153,54,99
Western Isles,84,144,58,86
Western Isles,85 to 89,539,165,374
Western Isles,90 to 94,186,33,153
Western Isles,95 and over,60,10,50